POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
ZAG;Ernando;internacional;6.59;0.5;internacional;coritiba;0#0#0#0#1#0#0#0#0
GOL;Vladimir;santos;6.55;-2.3;santos;ponte preta;1#4#0#0#0#0#0#0#0
MEI;Jefferson;figueirense;6.53;0;figueirense;palmeiras;3#2#0#0#0#0#0#0#0
MEI;Nicolás Freitas;internacional;6.46;5.7;internacional;coritiba;3#7#0#0#0#0#0#0#0
TEC;Marquinhos Santos;coritiba;6.26;0.35;internacional;coritiba;-#-#-#-#-#-#-#-#-
LAT;Cereceda;figueirense;6.21;-0.8;figueirense;palmeiras;2#9#0#0#0#0#0#0#0
TEC;Argel Fucks;figueirense;6.19;1.65;figueirense;palmeiras;-#-#-#-#-#-#-#-#-
ZAG;Rhodolfo;grêmio;6;3;são paulo;grêmio;0#3#0#0#0#1#0#1#0
ATA;Rafael Silva;vasco;5.99;6.3;atlético-pr;vasco;7#9#0#0#5#1#0#0#0
MEI;Rafael Carioca;atlético-mg;5.93;5.2;atlético-mg;cruzeiro;7#12#0#0#0#2#0#0#0
LAT;Ayrton;palmeiras;5.88;0;figueirense;palmeiras;1#1#0#0#0#0#0#0#0
MEI;Augusto César;joinville;5.79;6.2;joinville;corinthians;8#7#0#0#1#0#0#0#0
MEI;Wagner;fluminense;5.71;1.2;fluminense;sport;4#15#0#0#1#1#0#0#0
LAT;Renato;fluminense;5.71;4.6;fluminense;sport;6#5#0#0#0#0#0#0#0
LAT;Renê;sport;5.69;9.1;fluminense;sport;3#23#1#0#2#0#0#0#0
MEI;Renan;avaí;5.68;-0.6;goiás;avaí;10#9#0#0#0#0#0#0#0
MEI;Serginho;vasco;5.62;0;atlético-pr;vasco;
ZAG;Jackson;palmeiras;5.49;2.7;figueirense;palmeiras;1#7#0#0#0#1#0#0#0
ZAG;Tiago Alves;pontepreta;5.29;12.1;santos;ponte preta;1#8#0#0#0#1#2#0#0
